query,type,volume_tier,current_owner,glance_angle,priority
"D0 commerce definition",unexplored,Low,none,"Glance invented D0 (Day Zero) commerce — commerce before any app is opened triggered by passive lock screen presence. Publish the definitive explainer and own this term entirely.",P1
"pre-intent commerce what is it",unexplored,Low,none,"No content exists for this phrase. Glance's lock screen model is the canonical pre-intent commerce surface — it intercepts users before search intent forms. Glance should define and own this vocabulary.",P1
"zapps glance how does it work",unexplored,Low,none,"Search returns only OWASP ZAP and a decade-old Zappos product. Glance's Zapps (lock screen mini-apps) have zero documented explainer content online. A dedicated how-it-works piece would rank immediately.",P1
"agentic commerce OEM embedded",unexplored,Low,none,"All agentic commerce content covers app/web-layer agents. Zero content addresses OEM-level OS/hardware embedding — Glance's core differentiator on 175M+ devices. Glance is the only credible author for this angle.",P1
"lockscreen AI shopping android 2026",unexplored,Med,"androidcentral.com / 9to5google.com","Android Central and 9to5Google are Samsung-centric not Glance-centric. Glance should publish first-party content to reclaim the brand narrative for this high-relevance query.",P1
"how does Glance app work",unexplored,Med,"glance.com (partial)","Glance's own help pages are thin. Third-party explainers fill the vacuum with shallow content. A comprehensive SEO-optimised first-party deep-dive covering AI shopping + Zapps + virtual try-on would consolidate authority.",P1
"virtual try on android without camera",unexplored,Med,"glamar.io / deorwine.com (generic lists)","Generic lists (FitRoom Doppl) with no Glance mention. Glance's selfie-to-style AI Looks feature is precisely a camera-optional generative virtual try-on. Targeted piece would capture high-purchase-intent traffic.",P2
"WWDC 2026 commerce AI what to expect",unexplored,Med,"macrumors.com / eweek.com","Coverage is Apple-centric (Siri 2.0 iOS 27). No content frames WWDC through a commerce lens or contrasts Apple with Android-native agentic commerce. Glance can publish a compare-and-contrast positioning its OEM head start.",P2
"what happened at Google I/O 2026 for commerce",high_volume,High,"blog.google / engadget.com / 9to5google.com / rewarx.com","Google's Universal Cart and UCP validate agentic commerce. Glance should publish a rapid-response piece framing I/O 2026 through OEM-embedded commerce — positioning Glance as the Android-native complement to Google's web-layer UCP.",P1
"Gemini agentic shopping how does it work",high_volume,High,"tealium.com / wix.com / azoma.ai / flywheeldigital.com","All explainers treat Gemini as web/app-layer only. Glance angle: how UCP compares to lock screen agentic commerce (pre-app pre-intent) and why OEM-embedded represents the next layer beyond Gemini's reach.",P1
"Google universal commerce protocol explained",high_volume,High,"developers.google.com / altexsoft.com / digiday.com / smarter-ecommerce.com","Google owns this term. Glance's angle: UCP is browser/app-layer while Glance is OS-layer — together they complete the agentic commerce stack. Target long-tail variants like 'UCP vs OEM commerce'.",P2
"best agentic commerce platform 2026",high_volume,High,"bigcommerce.com / swell.is / kore.ai / alhena.ai","All listicles cover SaaS/web platforms only. No list includes OEM-embedded. Glance should publish its own landscape piece introducing the OEM-embedded category — where Glance is the only credible entrant.",P2
"AI shopping agent comparison 2026",high_volume,High,"alhena.ai / insiderone.com / modernretail.co / fastcompany.com","Comparisons cover Gemini ChatGPT Rufus Perplexity — Glance is absent. Publishing a comparison that introduces 'ambient/lock screen agents' as a category would inject Glance into a query generating substantial referral traffic.",P2
"ambient commerce definition",high_volume,High,"verdict.co.uk / retail-insight-network.com / siliconrepublic.com","Current definition centres on IoT sensors and cashierless stores. Glance represents a more scalable form: lock screen as always-on commerce surface on 175M devices. Redefine ambient commerce for the mobile-first era.",P2
"brand AI storefront explained",high_volume,High,"klaviyo.com / alhena.ai / paypal.com / modernretail.co","Agentic storefronts covered for ChatGPT and Gemini only. Glance angle: lock screen as the brand storefront that reaches users before they open any app — the pre-app agentic storefront layer brands are missing.",P2
