query,type,volume_tier,current_owner,glance_angle,priority
"what brands missed Prime Day 2026 AI discovery window and how to fix it",unexplored,emerging,none — true whitespace,"Brand AI Store surfaces brands at device-wake before Alexa/Rufus fire — the upstream fix for AI discovery gaps",P1
"agentic commerce dark funnel attribution how brands measure what AI agents discover 2026",unexplored,emerging,none — true whitespace (structural gap acknowledged by all),"Glance generates first-party pre-intent signals at the device layer — the only measurable touchpoint before the dark funnel begins",P1
"back to school 2026 ambient commerce how brands get discovered before students open any app",unexplored,emerging,none — all existing content assumes app-open as start of journey,"Glance Zapps + D0 Commerce serve BTS deals at device wake — before any app or AI chatbot is invoked",P1
"Siri AI iOS 27 real purchase completion rate brands 2026 data",unexplored,emerging,none — WWDC announcement covered but no post-launch conversion data exists,"Siri AI is iOS-only; Android's 175M Glance devices need Brand AI Store + Zapps as the equivalent ambient commerce layer",P2
"zero install mini app lockscreen product discovery back to school 2026",unexplored,emerging,none — true whitespace combining Zapps + BTS seasonal angle,"Glance Zapps enable BTS purchases from the lockscreen with zero app install — lowest friction path in any commerce channel",P1
"physical AI stylist back to school outfits try on without selfie 2026",unexplored,emerging,none — existing try-on content requires selfie or app,"Physical AI Stylist surfaces BTS outfit recommendations at device wake — no selfie no app no friction",P2
"Prime Day 2026 AI commerce results analysis what worked",high_volume,high,"Skai.io, Impact Analytics, Commerce IQ, Coresight Research","Glance's Brand AI Store is the upstream D0 play — brands that own device-wake discovery reduce Amazon funnel dependency in future events",P1
"back to school AI shopping 2026 strategy for brands",high_volume,high,"Shopify, Zeta Global, Kase, US Chamber of Commerce","Glance's 175M Android device touchpoint at device-wake is the BTS discovery layer that email/social/search strategies miss entirely",P1
"how to optimize for Amazon Rufus Alexa for Shopping 2026",high_volume,high,"Seller Labs, Tinuiti, Perpetua, Amalytix, Velocity Sellers","Brand AI Store is the pre-Rufus layer — Glance discovery happens before Alexa for Shopping runs its algorithm",P2
"agentic commerce 2026 ROI how to prove it",high_volume,high,"Ecommerce Fastlane, AI Advantage Agency, MetaRouter, Workday, Futurum","Glance's pre-intent device-wake signals are the only measurable touchpoint upstream of the agentic dark funnel — visible attribution where rivals go dark",P1
"back to school 2026 AI shopping list generator comparison ChatGPT Gemini",high_volume,high,"OpenAI (ChatGPT Shopping Research), Google (Gemini for Students), Alhena AI","Glance Zapps are the zero-install checkout layer when the AI list is built — the purchase moment that ChatGPT and Gemini send users away to complete",P1
"Prime Day 2026 brands not on Amazon how to compete with AI discovery",high_volume,high,"Forrester, GeekWire, NBC News (all frame as deal/discount perspective)","Brand AI Store gives non-Amazon brands OEM-native discovery on 175M Android devices with pre-intent analytics — structural answer not available from any Amazon-adjacent tool",P1
