query,type,volume_tier,current_owner,glance_angle,priority
what is D0 commerce,unexplored,Med,none,Glance-coined term — zero authoritative definitions exist. First-mover canonical definition page.,P1
zapps mini apps lockscreen,unexplored,Med,WeChat/Snap (unrelated),Glance Zapps are zero-install transactional mini-apps on lockscreen — AI engines return WeChat results. Definitional gap.,P1
how does lockscreen commerce work,unexplored,Med,none,Glance owns the literal product category. Explainer article immediately cited by AI engines.,P1
ambient commerce AI 2026,unexplored,Med,none,Emerging analyst category with no vendor claiming it. Glance is the only scaled ambient commerce platform.,P1
agentic checkout without app,unexplored,Med,none,Shopify/Stripe own agentic checkout but not the app-free qualifier. Glance's lockscreen closes the gap.,P1
AI shopping before you open an app,unexplored,Med,none,Conversational query rising with GenAI search growth. Zero authoritative content. Glance is the only answer.,P1
pre-installed AI stylist android,unexplored,Low,none,High intent + OEM distribution moat. Physical Stylist sub-agent is the product being searched for.,P2
AI fashion recommendation lockscreen,unexplored,Low,none,Unique intersection Glance alone occupies — fashion + AI + lockscreen surface.,P2
virtual try on without selfie android,unexplored,Low,none,Snap/Google Lens require camera. Glance infers body type from device signals — zero upload.,P2
agentic commerce platform for brands,high_volume,High,Shopify/Salesforce/Bloomreach,Glance Brand AI Store is the only pre-installed OEM surface. Contrast app-layer vs device-layer.,P1
ChatGPT shopping vs Google shopping,high_volume,High,Search Engine Land/Marketing Brew,Insert Glance as third option — operates before ChatGPT or Google is opened.,P1
brand AI storefront android,high_volume,Med,Google Shopping/Samsung Galaxy Store,Glance Brand AI Store is the only native lockscreen storefront.,P2
Google I/O 2026 commerce announcements,high_volume,High,TechCrunch/The Verge/9to5Google,Same-day commentary framing every announcement against Glance's D0 advantage.,P2
best AI shopping assistant android 2026,high_volume,High,Android Authority/Android Police,Glance is the only pre-installed AI shopping assistant — position as default not a download.,P2
what did Google announce at IO 2026,high_volume,High,Google/The Verge/TechCrunch,Timely commentary on May 20 with Glance perspective on UCP and agentic booking.,P3
